-3.4104375,1.7902182,3.7025234
-3.3055674,1.6219812,3.4879295
-3.1922873,1.4597813,3.3798637
-3.0685142,1.3053005,3.3889720
-2.9331678,1.1606825,3.4548782
-2.7871195,1.0269935,3.5211052
-2.6315142,0.9046935,3.5845002
-2.4672762,0.7939321,3.6325703
-2.2962149,0.6943859,3.6231852
-2.1197647,0.6045885,3.5376853
-1.9395719,0.5228689,3.3204285
-1.7558805,0.4487598,3.0973906
-1.5685098,0.3844697,2.8814010
-1.3764085,0.3350236,2.7808624
-1.1803554,0.3077483,2.7534532
-0.9827767,0.3077978,2.8184764
-0.7865658,0.3360796,2.8874438
-0.5962725,0.3904902,2.9575754
-0.4147292,0.4680454,3.0286820
-0.2425470,0.5667435,3.0994148
-0.0823404,0.6829039,3.1688757
0.0655041,0.8139436,3.2367585
0.2010565,0.9581564,3.3017444
0.3233562,1.1132391,3.3649534
0.4326610,1.2779660,3.4274200
0.5291466,1.4516921,3.4894532
0.6111550,1.6307372,3.5520603
0.6798572,1.8163625,3.6153736
0.7353136,2.0076210,3.6793340
0.7771243,2.2000371,3.7447892
0.8068018,2.3960638,3.8108576
0.8247634,2.5937062,3.8777173
0.8317635,2.7911070,3.9444646
0.8288771,2.9897488,4.0000000
0.8170093,3.1870869,4.0000000
0.7965468,3.3842346,4.0000000
0.7675899,3.5803228,4.0000000
0.7299919,3.7747019,4.0000000
0.6836094,3.9674706,4.0000000
0.6285715,4.1576965,4.0000000
0.5647506,4.3452786,4.0000000
0.4921471,4.5295748,4.0000000
0.4106355,4.7102811,4.0000000
0.3204980,4.8862893,4.0000000
0.2211379,5.0581864,4.0000000
0.1134318,5.2239407,4.0000000
-0.0034438,5.3842482,4.0000000
-0.1289020,5.5375975,4.0000000
-0.2623228,5.6830903,4.0000000
-0.4046724,5.8217791,3.9999999
-0.5538604,5.9515361,3.9999998
-0.7103295,6.0726456,3.9999997
-0.8741901,6.1848174,3.9999990
-1.0433587,6.2869912,3.9826602
-1.2178857,6.3801716,3.9186437
-1.3973125,6.4653614,3.8011448
-1.5794901,6.5423044,3.6554413
-1.7641405,6.6116970,3.4846827
-1.9525048,6.6742446,3.2752948
-2.1435069,6.7268561,3.1261252
-2.3374947,6.7651748,3.0177912
-2.5340858,6.7855960,2.9333224
-2.7320092,6.7859233,2.8549771
-2.9283606,6.7625737,2.8430562
-3.1196760,6.7136616,2.8512068
-3.3029428,6.6395636,2.8743549
-3.4756155,6.5414899,2.9167513
-3.6324616,6.4226957,2.9629500
-3.7733651,6.2843760,3.0124052
-3.8972049,6.1289354,3.0645291
-4.0019273,5.9611199,3.1198233
-4.0878829,5.7835183,3.1782685
-4.1563306,5.5966760,3.2384791
-4.2069271,5.4058838,3.3015929
-4.2414178,5.2109102,3.3661481
-4.2607734,5.0130408,3.4318545
-4.2659491,4.8157815,3.4994745
-4.2581989,4.6171426,3.5678583
-4.2387122,4.4204083,3.6389313
-4.2084794,4.2242473,3.7124239
-4.1696125,4.0299681,3.7895174
-4.1250238,3.8365124,3.8681615
-4.0780578,3.6444814,3.9477087
-4.0309580,3.4515708,3.9790868
-3.9840032,3.2596964,4.0000000
-3.9351193,3.0673787,4.0000000
-3.8820517,2.8765554,4.0000000
-3.8228295,2.6878280,4.0000000
-3.7560423,2.5007463,4.0000000
-3.6817075,2.3179364,4.0000000
-3.5985511,2.1375745,3.9999998
-3.5078857,1.9616666,3.9999998
-3.4104375,1.7902182,3.7025234